id,name,parent_id,type,description,is_labor_code,dcaa_allowable,overtime_account_id/id,color,linked_worktype
aa_om189,189 - WRITEDOWN OBSOLETE INVENTORY,Overhead Materials,normal,189 - WRITEDOWN OBSOLETE INVENTORY,,1,,,
aa_om225,225 - GOVT COMPLIANCE MATERIALS,Overhead Materials,normal,225 - GOVT COMPLIANCE MATERIALS,,1,,,
aa_om838,838 - PACK & SHIP MATERIALS - UNALLOWABLE,Overhead Materials,normal,838 - PACK & SHIP MATERIALS - UNALLOWABLE,,0,,red,
aa_om843,843 - PRINTING - UNALLOWABLE,Overhead Materials,normal,843 - PRINTING - UNALLOWABLE,,0,,red,
aa_om857,857 - STRATEGIC WRITE-OFF PARTS - UNALLOWABLE,Overhead Materials,normal,857 - STRATEGIC WRITE-OFF PARTS - UNALLOWABLE,,0,,red,
aa_om866,866 - UNIFORMS & APPAREL - UNALLOWABLE,Overhead Materials,normal,866 - UNIFORMS & APPAREL - UNALLOWABLE,,0,,red,
aa_om895,895 - MISC MATERIALS - UNALLOWABLE ,Overhead Materials,normal,895 - MISC MATERIALS - UNALLOWABLE ,,0,,red,
aa_oh_travel,Overhead Travel,Overhead,view,Overhead Travel,,,,,
aa_ot101,101 - MISC TRAVEL,Overhead Travel,normal,101 - MISC TRAVEL,,1,,,
aa_ot117,117 - CONTRACTOR ACCCOMODATIONS,Overhead Travel,normal,117 - CONTRACTOR ACCCOMODATIONS,,1,,,
aa_ot122,122 - ISO TRAVEL,Overhead Travel,normal,122 - ISO TRAVEL,,1,,,
aa_ot145,145 - RECRUITING TRAVEL,Overhead Travel,normal,145 - RECRUITING TRAVEL,,1,,,
aa_ot150,150 - SECURITY TRAVEL,Overhead Travel,normal,150 - SECURITY TRAVEL,,1,,,
aa_ot162,162 - TRAINING TRAVEL,Overhead Travel,normal,162 - TRAINING TRAVEL,,1,,,
aa_ot225,225 - GOVT COMPLIANCE TRAVEL,Overhead Travel,normal,225 - GOVT COMPLIANCE TRAVEL,,1,,,
aa_ot555,555 - OWNER PER DIEM,Overhead Travel,normal,555 - OWNER PER DIEM,,1,,,
aa_ot855,855 - OWNER PER DIEM - UNALLOWABLE ,Overhead Travel,normal,855 - OWNER PER DIEM - UNALLOWABLE ,,0,,red,
aa_ot895,895 - TRAVEL UNALLOWABLE ,Overhead Travel,normal,895 - TRAVEL UNALLOWABLE ,,0,,red,
aa_subs,Overhead Subcontractors,Overhead,view,Overhead Subcontractors,,,,,
aa_os105,105 - SUBS- EXTERNAL,Overhead Subcontractors,normal,105 - SUBS- EXTERNAL,,1,,,
aa_os122,122 - SUBS - ISO,Overhead Subcontractors,normal,122 - SUBS - ISO,,1,,,
aa_os130,130 - ACCOUNTING,Overhead Subcontractors,normal,130 - ACCOUNTING,,1,,,
aa_os139,139 - AUDITING,Overhead Subcontractors,normal,139 - AUDITING,,1,,,
aa_os147,147 - CONSULTING,Overhead Subcontractors,normal,147 - CONSULTING,,1,,,
aa_os149,149 - JANITORIAL,Overhead Subcontractors,normal,149 - JANITORIAL,,1,,,
aa_os150,150 - SECURITY,Overhead Subcontractors,normal,150 - SECURITY,,1,,,
aa_os155,155 - LEGAL,Overhead Subcontractors,normal,155 - LEGAL,,1,,,
aa_os225,225 - SUBS - GOVT COMPLIANCE,Overhead Subcontractors,normal,225 - SUBS - GOVT COMPLIANCE,,1,,,
aa_os606,606 - SUBS - INTERCO,Overhead Subcontractors,normal,606 - SUBS - INTERCO,,1,,,
aa_os805,805 - SUBS - EXTERNAL - UNALLOWABLE,Overhead Subcontractors,normal,805 - SUBS - EXTERNAL - UNALLOWABLE,,0,,red,
aa_os806,806 - SUBS- INTERCO - UNALLOWABLE,Overhead Subcontractors,normal,806 - SUBS- INTERCO - UNALLOWABLE,,0,,red,
aa_os847,847 - CONSULTING - UNALLOWABLE,Overhead Subcontractors,normal,847 - CONSULTING - UNALLOWABLE,,0,,red,
aa_os855,855 - LEGAL - UNALLOWABLE,Overhead Subcontractors,normal,855 - LEGAL - UNALLOWABLE,,0,,red,
aa_oh_misc,Overhead Other,Overhead,view,Overhead Other,,,,,
aa_omi101,101 - MISC OTHER EXPENSES,Overhead Other,normal,101 - MISC OTHER EXPENSES,,1,,,
aa_omi107,107 - BANK CHARGES - ALLOWABLE,Overhead Other,normal,107 - BANK CHARGES - ALLOWABLE,,1,,,
aa_omi108,108 - BUSINESS LICENSES & PERMITS,Overhead Other,normal,108 - BUSINESS LICENSES & PERMITS,,1,,,
aa_omi113,113 - DUES & SUBSCRIPTIONS,Overhead Other,normal,113 - DUES & SUBSCRIPTIONS,,1,,,
aa_omi114,114 - ERP LICENSE FEES,Overhead Other,normal,114 - ERP LICENSE FEES,,1,,,
aa_omi115,115 - EQUIPMENT LEASE,Overhead Other,normal,115 - EQUIPMENT LEASE,,1,,,
aa_omi118,118 - FEES,Overhead Other,normal,118 - FEES,,1,,,
aa_omi127,127 - INSURANCE,Overhead Other,normal,127 - INSURANCE,,1,,,
aa_omi138,138 - POSTAGE & OUTBOUND SHIPPING,Overhead Other,normal,138 - POSTAGE & OUTBOUND SHIPPING,,1,,,
aa_omi150,150 - SECURITY,Overhead Other,normal,150 - SECURITY,,1,,,
aa_omi156,156 - SOFTWARE LICENSE FEES,Overhead Other,normal,156 - SOFTWARE LICENSE FEES,,1,,,
aa_omi162,162 - TRAINING & CONFERENCE FEES,Overhead Other,normal,162 - TRAINING & CONFERENCE FEES,,1,,,
aa_omi174,174 - TAX - PROPERTY,Overhead Other,normal,174 - TAX - PROPERTY,,1,,,
aa_omi175,175 - TAX - SALES & USE,Overhead Other,normal,175 - TAX - SALES & USE,,1,,,
aa_omi177,177 - TAX - OTHER,Overhead Other,normal,177 - TAX - OTHER,,1,,,
aa_omi181,181 - VEHICLE FUEL,Overhead Other,normal,181 - VEHICLE FUEL,,1,,,
aa_omi183,183 - VEHICLE INSURANCE,Overhead Other,normal,183 - VEHICLE INSURANCE,,1,,,
aa_omi185,185 - VEHICLE LICENSE & REGISTRATION,Overhead Other,normal,185 - VEHICLE LICENSE & REGISTRATION,,1,,,
aa_omi187,187 - VEHICLE REPAIR & MAINTENANCE,Overhead Other,normal,187 - VEHICLE REPAIR & MAINTENANCE,,1,,,
aa_omi190,190 - RENT,Overhead Other,normal,190 - RENT,,1,,,
aa_omi191,191 - INTERNET - ON-SITE,Overhead Other,normal,191 - INTERNET - ON-SITE,,1,,,
aa_omi192,192 - INTERNET - OFF SITE,Overhead Other,normal,192 - INTERNET - OFF SITE,,1,,,
aa_omi193,193 - INTERNET - VAULT,Overhead Other,normal,193 - INTERNET - VAULT,,1,,,
aa_omi194,194 - PHONE EXP - OFFIC,Overhead Other,normal,194 - PHONE EXP - OFFIC,,1,,,
aa_omi195,195 - PHONE EXP - MOBILE,Overhead Other,normal,195 - PHONE EXP - MOBILE,,1,,,
aa_omi196,196 - PHONE EXP - SECURE,Overhead Other,normal,196 - PHONE EXP - SECURE,,1,,,
aa_omi197,197 - UTILITIES,Overhead Other,normal,197 - UTILITIES,,1,,,
aa_omi198,198 - WEB SERVICES,Overhead Other,normal,198 - WEB SERVICES,,1,,,
aa_omi221,221 - DEPRECIATION,Overhead Other,normal,221 - DEPRECIATION,,1,,,
aa_omi223,223 - (GAIN)/LOSS ON DISPOSITION OF FIXED ASSETS,Overhead Other,normal,223 - (GAIN)/LOSS ON DISPOSITION OF FIXED ASSETS,,1,,,
aa_omi225,225 - GOVT COMPLIANCE MISC,Overhead Other,normal,225 - GOVT COMPLIANCE MISC,,1,,,
aa_omi804,804 - BAD DEBT - UNALLOWABLE,Overhead Other,normal,804 - BAD DEBT - UNALLOWABLE,,0,,red,
aa_omi807,807 - BANK CHARGES - UNALLOWABLE,Overhead Other,normal,807 - BANK CHARGES - UNALLOWABLE,,0,,red,
aa_omi810,810 - CHARITABLE CONTRIBUTIONS - UNALLOWABLE,Overhead Other,normal,810 - CHARITABLE CONTRIBUTIONS - UNALLOWABLE,,0,,red,
aa_omi813,813 - DUES & SUBSCRIPTIONS - UNALLOWABLE,Overhead Other,normal,813 - DUES & SUBSCRIPTIONS - UNALLOWABLE,,0,,red,
aa_omi815,815 - EQUIPMENT LEASE - UNALLOWABLE,Overhead Other,normal,815 - EQUIPMENT LEASE - UNALLOWABLE,,0,,red,
aa_omi818,818 - FEES & FINES - UNALLOWABLE,Overhead Other,normal,818 - FEES & FINES - UNALLOWABLE,,0,,red,
aa_omi827,827 - INSURANCE - UNALLOWABLE,Overhead Other,normal,827 - INSURANCE - UNALLOWABLE,,0,,red,
aa_omi828,828 - INSURANCE - KEY MAN - UNALLOWABLE,Overhead Other,normal,828 - INSURANCE - KEY MAN - UNALLOWABLE,,0,,red,
aa_omi838,838 - POSTAGE & SHIPPING - UNALLOWABLE,Overhead Other,normal,838 - POSTAGE & SHIPPING - UNALLOWABLE,,0,,red,
aa_omi860,860 - BREAKROOM FOOD - UNALLOWABLE,Overhead Other,normal,860 - BREAKROOM FOOD - UNALLOWABLE,,0,,red,
aa_omi861,861 - CLIENT & MEETING MEALS - UNALLOWABLE,Overhead Other,normal,861 - CLIENT & MEETING MEALS - UNALLOWABLE,,0,,red,
aa_omi864,864 - COMPANY MEALS/PARTIES - UNALLOWABLE,Overhead Other,normal,864 - COMPANY MEALS/PARTIES - UNALLOWABLE,,0,,red,
aa_omi867,867 - OWNER MEALS - UNALLOWABLE,Overhead Other,normal,867 - OWNER MEALS - UNALLOWABLE,,0,,red,
aa_omi868,868 - TEAM PERKS - UNALLOWABLE,Overhead Other,normal,868 - TEAM PERKS - UNALLOWABLE,,0,,red,
aa_omi890,890 - INTEREST EXPENSE - UNALLOWABLE,Overhead Other,normal,890 - INTEREST EXPENSE - UNALLOWABLE,,0,,red,
aa_omi895,895 - MISC OTHER - UNALLOWABLE,Overhead Other,normal,895 - MISC OTHER - UNALLOWABLE,,0,,red,
aa_bp,Bid & Proposal,Overhead,view,Bid & Proposal,,,,olive,
aa_bp1,BP1 - INITIAL BID & PROPOSAL,Bid & Proposal,normal,BP1 - INITIAL BID & PROPOSAL,1,1,,,
aa_sales,Sales & Marketing,Overhead,view,Sales & Marketing,,,,olive,
aa_s873,873 - ADVERTISING - UNALLOWABLE,Sales & Marketing,normal,873 - ADVERTISING - UNALLOWABLE,1,0,,red,
aa_s876,876 - PRODUCT ENDORSEMENTS - UNALLOWABLE,Sales & Marketing,normal,876 - PRODUCT ENDORSEMENTS - UNALLOWABLE,1,0,,red,
aa_s879,879 - LOBBYING & POLITICAL - UNALLOWABLE,Sales & Marketing,normal,879 - LOBBYING & POLITICAL - UNALLOWABLE,1,0,,red,
aa_cons,Trade Shows & Conventions,Overhead,view,Trade Shows & Conventions,,,,olive,
aa_ts1,TS1 - TRADE SHOWS - ALLOWABLE,Trade Shows & Conventions,normal,TS1 - TRADE  SHOWS - ALLOWABLE,1,1,,,
aa_ts2,TS2 - AUVSI,Trade Shows & Conventions,normal,TS2 - AUVSI,1,1,,,
aa_ts3,TS3 - AUSA,Trade Shows & Conventions,normal,TS3 - AUSA,1,1,,,
aa_ts895,TS895 - TRADE  SHOWS - UNALLOWABLE,Trade Shows & Conventions,normal,TS895 - TRADE  SHOWS - UNALLOWABLE,1,0,,red,
aa_media,Media,Overhead,view,Media,,,,olive,
aa_me140,140 - AUDIO/VISUAL - DIRECT SALES,Media,normal,140 - AUDIO/VISUAL - DIRECT SALES,1,1,,,
aa_me146,146 - AUDIO/VISUAL - PUBLIC RELEASE,Media,normal,146 - AUDIO/VISUAL - PUBLIC RELEASE,1,1,,,
aa_me151,151 - PRINT MEDIA - DIRECT SALES,Media,normal,151 - PRINT MEDIA - DIRECT SALES,1,1,,,
aa_me154,154 - PRINT MEDIA - PUBLIC RELEASE,Media,normal,154 - PRINT MEDIA - PUBLIC RELEASE,1,1,,,
aa_me178,178 - MEDIA - OTHER ALLOWABLE,Media,normal,178 - MEDIA - OTHER ALLOWABLE,1,1,,,
aa_me840,840 - AUDIO/VISUAL - UNALLOWABLE,Media,normal,840 - AUDIO/VISUAL - UNALLOWABLE,1,0,,red,
aa_me851,851 - PRINT MEDIA - UNALLOWABLE,Media,normal,851 - PRINT MEDIA - UNALLOWABLE,1,0,,red,
aa_me895,895 - MEDIA - OTHER UNALLOWABLE,Media,normal,895 - MEDIA - OTHER UNALLOWABLE,1,0,,red,
aa_fringe,Fringe Benefits,Overhead,view,Fringe Benefits,,,,purple,
aa_f301,301 - EMPLOYEE BENEFITS,Fringe Benefits,normal,301 - EMPLOYEE BENEFITS,,1,,,
aa_f311,311 - BONUS - PROFIT SHARING,Fringe Benefits,normal,311 - BONUS - PROFIT SHARING,,1,,,
aa_f314,314 - BONUS - SPOT,Fringe Benefits,normal,314 - BONUS - SPOT,,1,,,
aa_f324,324 - HOLIDAY,Fringe Benefits,normal,324 - HOLIDAY,1,1,,,Holiday
aa_f326,326 - PTO,Fringe Benefits,normal,326 - PTO,1,1,,,PTO
aa_f331,331 - WORKER'S COMP,Fringe Benefits,normal,331 - WORKER'S COMP,,1,,,
aa_f363,363 - 401K MATCH,Fringe Benefits,normal,363 - 401K MATCH,,1,,,
aa_f369,369 - SAVINGS INCENTIVE - EMPLOYEE,Fringe Benefits,normal,369 - SAVINGS INCENTIVE - EMPLOYEE,,1,,,
aa_f382a,382a - PAYROLL TAX - FICA & MEDICARE,Fringe Benefits,normal,382a - PAYROLL TAX - FICA & MEDICARE,,1,,,
aa_f382b,382b - PAYROLL TAX - FUTA,Fringe Benefits,normal,382b - PAYROLL TAX - FUTA,,1,,,
aa_f382c,382c - PAYROLL TAX - SUTA,Fringe Benefits,normal,382c - PAYROLL TAX - SUTA,,1,,,
aa_f393,393 - PAYROLL PROCESSING FEES,Fringe Benefits,normal,393 - PAYROLL PROCESSING FEES,,1,,,
aa_f501,501 - OWNER BENEFITS,Fringe Benefits,normal,501 - OWNER BENEFITS,,1,,,
aa_f511,511 - BONUS - PROFIT SHARING - OWNER,Fringe Benefits,normal,511 - BONUS - PROFIT SHARING - OWNER,,1,,,
aa_f514,514 - BONUS - SPOT - OWNER,Fringe Benefits,normal,514 - BONUS - SPOT - OWNER,,1,,,
aa_f569,569 - SAVINGS INCENTIVE - OWNER,Fringe Benefits,normal,569 - SAVINS INCENTIVE - OWNER,,1,,,
aa_f801,801 - COBRA/ NON-EMPLOYEE - UNALLOWABLE,Fringe Benefits,normal,801 - COBRA/ NON-EMPLOYEE - UNALLOWABLE,,0,,red,
aa_f811,811 - BONUS NON-EMPLOYEE - UNALLOWABLE,Fringe Benefits,normal,811 - BONUS NON-EMPLOYEE - UNALLOWABLE,,0,,red,
aa_f814,814 - BONUS EMPLOYEE - UNALLOWABLE,Fringe Benefits,normal,814 - BONUS EMPLOYEE - UNALLOWABLE,,0,,red,
aa_f826,826 - PTO - UNALLOWABLE,Fringe Benefits,normal,826 - PTO - UNALLOWABLE,,0,,red,
aa_f841,841 - GIFTS & AWARDS - EMPLOYEE - UNALLOWABLE,Fringe Benefits,normal,841 - GIFTS & AWARDS - EMPLOYEE - UNALLOWABLE,,0,,red,
aa_f844,844 - GIFTS & AWARDS - OWNER - UNALLOWABLE,Fringe Benefits,normal,844 - GIFTS & AWARDS - OWNER - UNALLOWABLE,,0,,red,
aa_non_op,Non-operating Income and Expenses,PnL,view,Non-operating Income and Expenses,,,,,
aa_n720,720 - ROYALTY INCOME,Non-operating Income and Expenses,normal,720 - ROYALTY INCOME,,1,,,
aa_n733,733 - SHOP LEASE INCOME,Non-operating Income and Expenses,normal,733 - SHOP LEASE INCOME,,1,,,
aa_n771,771 - INTEREST INCOME,Non-operating Income and Expenses,normal,771 - INTEREST INCOME,,1,,,
aa_n772,772 - CURRENCY CONVERSION  INCOME,Non-operating Income and Expenses,normal,772 - CURRENCY CONVERSION  INCOME,,1,,,
aa_n795,795 - MISC OTHER  INCOME,Non-operating Income and Expenses,normal,795 - MISC OTHER  INCOME,,1,,,
aa_n871,871 - INTEREST EXPENSE - NON-OPERATING - UNALLOWABLE,Non-operating Income and Expenses,normal,871 - INTEREST EXPENSE - NON-OPERATING - UNALLOWABLE,,0,,,
aa_n895,895 - MISC OTHER EXPENSES - UNALLOWABLE,Non-operating Income and Expenses,normal,895 - MISC OTHER EXPENSES - UNALLOWABLE,,0,,,
aa_n972,972 - CURRENCY CONVERSION  EXPENSE,Non-operating Income and Expenses,normal,972 - CURRENCY CONVERSION  EXPENSE,,1,,,
aa_n995,995 - MISC OTHER EXPENSES - ALLOWABLE,Non-operating Income and Expenses,normal,995 - MISC OTHER EXPENSES - ALLOWABLE,,1,,,
