id,name,parent_id,type,description,is_labor_code,dcaa_allowable,overtime_account/id,color,linked_worktype
aa_ol187,187 - VEHICLE MAINTENANCE LABOR,Overhead Labor,normal,Time spent maintaining company vehicles.,1,1,,,
aa_ol225,225 - GOVT COMPLIANCE LABOR,Overhead Labor,normal,"Time spent that is not attributable to any particular contract but benefits only contracts with the U.S. Government. This includes filling out documentation for security clearances, government property tracking/disposition, compliance with government  reporting requirements, support for DCAA audits, and other similar functions.",1,1,,,
aa_ol404,404 - MATERIALS HANDLING LABOR,Overhead Labor,normal,"Time spent purchasing, handling, tracking and storing inventory.  Time spent purchasing and handling non-inventory materials used by a department or the company as a whole in their day-to-day activities should be coded to 142-PROCUREMENT LABOR in the appropriate department.",1,1,,,
aa_ol838,838 - PACK & SHIP LABOR - UNALLOWABLE,Overhead Labor,normal,Time spent for outbound product packaging and shipping which has been classified Unallowable per FAR.,1,0,,red,
aa_ol857,857 - STRATEGIC WRITE-OFF LABOR - UNALLOWBLE,Overhead Labor,normal,Labor that has been re-classified as Unallowable per FAR due to strategic decisions by management.  Only for use in Journal Entries.,,0,,red,
aa_ol861,861 - CLIENT MEALS & EVENTS LABOR - UNALLOWABLE,Overhead Labor,normal,Time spent with clients at meals and events which do not benefit the company as a whole and are Unallowable per FAR.,1,0,,red,
aa_ol864,864 - COMPANY MEALS & PARTY LABOR - UNALLOWABLE,Overhead Labor,normal,"Time spent preparing for and executing company meals and parties, which are Unallowable per FAR.",1,0,,red,
aa_ol868,868 - TEAM PERKS LABOR - UNALLOWABLE,Overhead Labor,normal,"Time spent preparing for and executing team building meals and activities, which are Unallowable per FAR.",1,0,,red,
aa_ol870,870 - OVERTIME PREMIUM - UNALLOWABLE,Overhead Labor,normal,Overtime rate premiums for non-exempt employees  working on contracts which limit or exclude overtime premiums.  Only for use in Journal Entries.,,0,,red,
aa_ol880,880 - IDLE TIME LABOR - UNALLOWABLE,Overhead Labor,normal,"Unallowable (per FAR) idle time. Paid time when not working on a contract, manufacturing effort or indirect task (i.e. IR&D project, G&A, DLOH, facilities, sales, biz dev., etc.). Idle time is generally not permitted at IMSAR.  ~Idle hands are the devil's workshop.""  It is the employee's responsibility to notify their manager or PM promptly if they need additional work or are unable to work on an assignment.  If a manager or PM is not readily available, employees are encouraged to actively seek opportunities to help other employees with their tasks or to work on indirect tasks (i.e. cleaning and organizing their workspace, reviewing relevant technical manuals, perform routine maintenance on their equipment, etc.).  If unable to be productive, employees are encouraged to clock-out until given another assignment. Using this task code should be an extremely rare occurrence and it will invite a visit from senior management.",1,0,,red,
aa_ol888,888 - TEMPORARY LABOR - UNALLOWABLE,Overhead Labor,normal,"TEMPORARY code for time worked when an employee is unable to determine which code to use for a task they are performing or are unable to get proper authorization for a code. It is the employees' responsibility to obtain guidance on the correct task code to use, to obtain required authorizations and to complete the appropriate timecard correction process when possible. Timecards turned in with this code are non-compliant with ImSAR's timekeeping policy and will face consequences for non-compliance. Also may be used in case of an emergency (as determined by management), when an employee is not able to sign/approve timecard but management still wants to ensure that the employee is paid. Time will be approved by management & held in this account until the employee is able submit a signed/approved timecard or complete the timecard correction process.",1,0,,red,
aa_ol895,895 - MISC LABOR - UNALLOWABLE,Overhead Labor,normal,"Time spent that cannot be better classified by another task code, but that is classified as Unallowable by any subsection of FAR Part 31.",1,0,,red,
aa_oh_mat,Overhead Materials,Overhead,view,Overhead Materials,,,,,
aa_om101,101 - PARTS & MATERIALS,Overhead Materials,normal,101 - PARTS & MATERIALS,,1,,,
aa_om103,103 - ATTRITION,Overhead Materials,normal,103 - ATTRITION,,1,,,
aa_om112,112 - EQUIP MAINT & CALIBRATION MATERIALS,Overhead Materials,normal,112 - EQUIP MAINT & CALIBRATION MATERIALS,,1,,,
aa_om116,116 - EQUIPMENT UNDER $1K,Overhead Materials,normal,116 - EQUIPMENT UNDER $1K,,1,,,
aa_om122,122 - ISO MATERIALS,Overhead Materials,normal,122 - ISO MATERIALS,,1,,,
aa_om125,125 - IT EQUIPMENT <$1K,Overhead Materials,normal,125 - IT EQUIPMENT <$1K,,1,,,
aa_om138,138 - PACK & SHIP MATERIALS,Overhead Materials,normal,138 - PACK & SHIP MATERIALS,,1,,,
aa_om143,143 - PRINTING - ALLOWABLE,Overhead Materials,normal,143 - PRINTING - ALLOWABLE,,1,,,
aa_om150,150 - SECURITY MATERIALS & EQUIPMENT,Overhead Materials,normal,150 - SECURITY MATERIALS & EQUIPMENT,,1,,,
aa_om152,152 - REPAIR & MAINTENANCE MATERIALS,Overhead Materials,normal,152 - REPAIR & MAINTENANCE MATERIALS,,1,,,
aa_om153,153 - SCRAPPED  PARTS,Overhead Materials,normal,153 - SCRAPPED  PARTS,,1,,,
aa_om156,156 - SOFTWARE,Overhead Materials,normal,156 - SOFTWARE,,1,,,
aa_om159,159 - SUPPLIES,Overhead Materials,normal,159 - SUPPLIES,,1,,,
aa_om160,160 - SUPPLIES - BREAKROOM,Overhead Materials,normal,160 - SUPPLIES - BREAKROOM,,1,,,
aa_om162,162 - TRAINING & REFERENCE MATERIALS,Overhead Materials,normal,162 - TRAINING & REFERENCE MATERIALS,,1,,,
aa_om166,166 - UNIFORMS & APPAREL - ALLOWABLE,Overhead Materials,normal,166 - UNIFORMS & APPAREL - ALLOWABLE,,1,,,
aa_om187,187 - VEHICLE MAINTENANCE MATERIALS,Overhead Materials,normal,187 - VEHICLE MAINTENANCE MATERIALS,,1,,,
aa_om189,189 - WRITEDOWN OBSOLETE INVENTORY,Overhead Materials,normal,189 - WRITEDOWN OBSOLETE INVENTORY,,1,,,
aa_om225,225 - GOVT COMPLIANCE MATERIALS,Overhead Materials,normal,225 - GOVT COMPLIANCE MATERIALS,,1,,,
aa_om838,838 - PACK & SHIP MATERIALS - UNALLOWABLE,Overhead Materials,normal,838 - PACK & SHIP MATERIALS - UNALLOWABLE,,0,,red,
aa_om843,843 - PRINTING - UNALLOWABLE,Overhead Materials,normal,843 - PRINTING - UNALLOWABLE,,0,,red,
aa_om857,857 - STRATEGIC WRITE-OFF PARTS - UNALLOWABLE,Overhead Materials,normal,857 - STRATEGIC WRITE-OFF PARTS - UNALLOWABLE,,0,,red,
aa_om866,866 - UNIFORMS & APPAREL - UNALLOWABLE,Overhead Materials,normal,866 - UNIFORMS & APPAREL - UNALLOWABLE,,0,,red,
aa_om895,895 - MISC MATERIALS - UNALLOWABLE,Overhead Materials,normal,895 - MISC MATERIALS - UNALLOWABLE,,0,,red,
aa_oh_travel,Overhead Travel,Overhead,view,Overhead Travel,,,,,
aa_ot101,101 - MISC TRAVEL,Overhead Travel,normal,101 - MISC TRAVEL,,1,,,
aa_ot117,117 - CONTRACTOR ACCCOMODATIONS,Overhead Travel,normal,117 - CONTRACTOR ACCCOMODATIONS,,1,,,
aa_ot122,122 - ISO TRAVEL,Overhead Travel,normal,122 - ISO TRAVEL,,1,,,
aa_ot145,145 - RECRUITING TRAVEL,Overhead Travel,normal,145 - RECRUITING TRAVEL,,1,,,
aa_ot150,150 - SECURITY TRAVEL,Overhead Travel,normal,150 - SECURITY TRAVEL,,1,,,
aa_ot162,162 - TRAINING TRAVEL,Overhead Travel,normal,162 - TRAINING TRAVEL,,1,,,
aa_ot225,225 - GOVT COMPLIANCE TRAVEL,Overhead Travel,normal,225 - GOVT COMPLIANCE TRAVEL,,1,,,
aa_ot555,555 - OWNER PER DIEM,Overhead Travel,normal,555 - OWNER PER DIEM,,1,,,
aa_ot855,855 - OWNER PER DIEM - UNALLOWABLE,Overhead Travel,normal,855 - OWNER PER DIEM - UNALLOWABLE,,0,,red,
aa_ot895,895 - TRAVEL UNALLOWABLE,Overhead Travel,normal,895 - TRAVEL UNALLOWABLE,,0,,red,
aa_subs,Overhead Subcontractors,Overhead,view,Overhead Subcontractors,,,,,
aa_os105,105 - SUBS- EXTERNAL,Overhead Subcontractors,normal,105 - SUBS- EXTERNAL,,1,,,
aa_os122,122 - SUBS - ISO,Overhead Subcontractors,normal,122 - SUBS - ISO,,1,,,
aa_os130,130 - ACCOUNTING,Overhead Subcontractors,normal,130 - ACCOUNTING,,1,,,
aa_os139,139 - AUDITING,Overhead Subcontractors,normal,139 - AUDITING,,1,,,
aa_os147,147 - CONSULTING,Overhead Subcontractors,normal,147 - CONSULTING,,1,,,
aa_os149,149 - JANITORIAL,Overhead Subcontractors,normal,149 - JANITORIAL,,1,,,
aa_os150,150 - SECURITY,Overhead Subcontractors,normal,150 - SECURITY,,1,,,
aa_os155,155 - LEGAL,Overhead Subcontractors,normal,155 - LEGAL,,1,,,
aa_os225,225 - SUBS - GOVT COMPLIANCE,Overhead Subcontractors,normal,225 - SUBS - GOVT COMPLIANCE,,1,,,
aa_os606,606 - SUBS - INTERCO,Overhead Subcontractors,normal,606 - SUBS - INTERCO,,1,,,
aa_os805,805 - SUBS - EXTERNAL - UNALLOWABLE,Overhead Subcontractors,normal,805 - SUBS - EXTERNAL - UNALLOWABLE,,0,,red,
aa_os806,806 - SUBS- INTERCO - UNALLOWABLE,Overhead Subcontractors,normal,806 - SUBS- INTERCO - UNALLOWABLE,,0,,red,
aa_os847,847 - CONSULTING - UNALLOWABLE,Overhead Subcontractors,normal,847 - CONSULTING - UNALLOWABLE,,0,,red,
aa_os855,855 - LEGAL - UNALLOWABLE,Overhead Subcontractors,normal,855 - LEGAL - UNALLOWABLE,,0,,red,
aa_oh_misc,Overhead Other,Overhead,view,Overhead Other,,,,,
aa_omi101,101 - MISC OTHER EXPENSES,Overhead Other,normal,101 - MISC OTHER EXPENSES,,1,,,
aa_omi107,107 - BANK CHARGES - ALLOWABLE,Overhead Other,normal,107 - BANK CHARGES - ALLOWABLE,,1,,,
aa_omi108,108 - BUSINESS LICENSES & PERMITS,Overhead Other,normal,108 - BUSINESS LICENSES & PERMITS,,1,,,
aa_omi113,113 - DUES & SUBSCRIPTIONS,Overhead Other,normal,113 - DUES & SUBSCRIPTIONS,,1,,,
aa_omi114,114 - ERP LICENSE FEES,Overhead Other,normal,114 - ERP LICENSE FEES,,1,,,
aa_omi115,115 - EQUIPMENT LEASE,Overhead Other,normal,115 - EQUIPMENT LEASE,,1,,,
aa_omi118,118 - FEES,Overhead Other,normal,118 - FEES,,1,,,
aa_omi127,127 - INSURANCE,Overhead Other,normal,127 - INSURANCE,,1,,,
aa_omi138,138 - POSTAGE & OUTBOUND SHIPPING,Overhead Other,normal,138 - POSTAGE & OUTBOUND SHIPPING,,1,,,
aa_omi150,150 - SECURITY,Overhead Other,normal,150 - SECURITY,,1,,,
aa_omi156,156 - SOFTWARE LICENSE FEES,Overhead Other,normal,156 - SOFTWARE LICENSE FEES,,1,,,
aa_omi162,162 - TRAINING & CONFERENCE FEES,Overhead Other,normal,162 - TRAINING & CONFERENCE FEES,,1,,,
aa_omi174,174 - TAX - PROPERTY,Overhead Other,normal,174 - TAX - PROPERTY,,1,,,
aa_omi175,175 - TAX - SALES & USE,Overhead Other,normal,175 - TAX - SALES & USE,,1,,,
aa_omi177,177 - TAX - OTHER,Overhead Other,normal,177 - TAX - OTHER,,1,,,
aa_omi181,181 - VEHICLE FUEL,Overhead Other,normal,181 - VEHICLE FUEL,,1,,,
aa_omi183,183 - VEHICLE INSURANCE,Overhead Other,normal,183 - VEHICLE INSURANCE,,1,,,
aa_omi185,185 - VEHICLE LICENSE & REGISTRATION,Overhead Other,normal,185 - VEHICLE LICENSE & REGISTRATION,,1,,,
aa_omi187,187 - VEHICLE REPAIR & MAINTENANCE,Overhead Other,normal,187 - VEHICLE REPAIR & MAINTENANCE,,1,,,
aa_omi190,190 - RENT,Overhead Other,normal,190 - RENT,,1,,,
aa_omi191,191 - INTERNET - ON-SITE,Overhead Other,normal,191 - INTERNET - ON-SITE,,1,,,
aa_omi192,192 - INTERNET - OFF SITE,Overhead Other,normal,192 - INTERNET - OFF SITE,,1,,,
aa_omi193,193 - INTERNET - VAULT,Overhead Other,normal,193 - INTERNET - VAULT,,1,,,
aa_omi194,194 - PHONE EXP - OFFIC,Overhead Other,normal,194 - PHONE EXP - OFFIC,,1,,,
aa_omi195,195 - PHONE EXP - MOBILE,Overhead Other,normal,195 - PHONE EXP - MOBILE,,1,,,
aa_omi196,196 - PHONE EXP - SECURE,Overhead Other,normal,196 - PHONE EXP - SECURE,,1,,,
aa_omi197,197 - UTILITIES,Overhead Other,normal,197 - UTILITIES,,1,,,
aa_omi198,198 - WEB SERVICES,Overhead Other,normal,198 - WEB SERVICES,,1,,,
aa_omi221,221 - DEPRECIATION,Overhead Other,normal,221 - DEPRECIATION,,1,,,
aa_omi223,223 - (GAIN)/LOSS ON DISPOSITION OF FIXED ASSETS,Overhead Other,normal,223 - (GAIN)/LOSS ON DISPOSITION OF FIXED ASSETS,,1,,,
aa_omi225,225 - GOVT COMPLIANCE MISC,Overhead Other,normal,225 - GOVT COMPLIANCE MISC,,1,,,
aa_omi804,804 - BAD DEBT - UNALLOWABLE,Overhead Other,normal,804 - BAD DEBT - UNALLOWABLE,,0,,red,
aa_omi807,807 - BANK CHARGES - UNALLOWABLE,Overhead Other,normal,807 - BANK CHARGES - UNALLOWABLE,,0,,red,
aa_omi810,810 - CHARITABLE CONTRIBUTIONS - UNALLOWABLE,Overhead Other,normal,810 - CHARITABLE CONTRIBUTIONS - UNALLOWABLE,,0,,red,
aa_omi813,813 - DUES & SUBSCRIPTIONS - UNALLOWABLE,Overhead Other,normal,813 - DUES & SUBSCRIPTIONS - UNALLOWABLE,,0,,red,
aa_omi815,815 - EQUIPMENT LEASE - UNALLOWABLE,Overhead Other,normal,815 - EQUIPMENT LEASE - UNALLOWABLE,,0,,red,
aa_omi818,818 - FEES & FINES - UNALLOWABLE,Overhead Other,normal,818 - FEES & FINES - UNALLOWABLE,,0,,red,
aa_omi827,827 - INSURANCE - UNALLOWABLE,Overhead Other,normal,827 - INSURANCE - UNALLOWABLE,,0,,red,
aa_omi828,828 - INSURANCE - KEY MAN - UNALLOWABLE,Overhead Other,normal,828 - INSURANCE - KEY MAN - UNALLOWABLE,,0,,red,
aa_omi838,838 - POSTAGE & SHIPPING - UNALLOWABLE,Overhead Other,normal,838 - POSTAGE & SHIPPING - UNALLOWABLE,,0,,red,
aa_omi860,860 - BREAKROOM FOOD - UNALLOWABLE,Overhead Other,normal,860 - BREAKROOM FOOD - UNALLOWABLE,,0,,red,
aa_omi861,861 - CLIENT & MEETING MEALS - UNALLOWABLE,Overhead Other,normal,861 - CLIENT & MEETING MEALS - UNALLOWABLE,,0,,red,
aa_omi864,864 - COMPANY MEALS/PARTIES - UNALLOWABLE,Overhead Other,normal,864 - COMPANY MEALS/PARTIES - UNALLOWABLE,,0,,red,
aa_omi867,867 - OWNER MEALS - UNALLOWABLE,Overhead Other,normal,867 - OWNER MEALS - UNALLOWABLE,,0,,red,
aa_omi868,868 - TEAM PERKS - UNALLOWABLE,Overhead Other,normal,868 - TEAM PERKS - UNALLOWABLE,,0,,red,
aa_omi890,890 - INTEREST EXPENSE - UNALLOWABLE,Overhead Other,normal,890 - INTEREST EXPENSE - UNALLOWABLE,,0,,red,
aa_omi895,895 - MISC OTHER - UNALLOWABLE,Overhead Other,normal,895 - MISC OTHER - UNALLOWABLE,,0,,red,
aa_bp,Bid & Proposal,Overhead,view,Bid & Proposal,,,,olive,
aa_bp1,BP1 - INITIAL BID & PROPOSAL,Bid & Proposal,normal,"Expense of preparing , submitting, and supporting bids and proposals  where the potential customer is not adequately categorized under another B&P code. Allowable per FAR 31.205-18",1,1,,,
aa_bp3,BP3 - DEPT OF DEFENSE,Bid & Proposal,normal,"Expense of preparing , submitting, and supporting bids and proposals  for Department of Defense customers. Allowable per FAR 31.205-18",1,1,,,
aa_bp5,BP5 - INTERNATIONAL - DEFENSE,Bid & Proposal,normal,"Expense of preparing , submitting, and supporting bids and proposals  for International Defense customers. Allowable per FAR 31.205-18",1,1,,,
aa_bp6,BP6 - INTERNATIONAL - COMMERCIAL,Bid & Proposal,normal,"Expense of preparing , submitting, and supporting bids and proposals  for International Commercial customers. Allowable per FAR 31.205-18",1,1,,,
aa_bp7,BP7 - OIL & GAS,Bid & Proposal,normal,"Expense of preparing , submitting, and supporting bids and proposals  for customers in the oil & gas industry. Allowable per FAR 31.205-18",1,1,,,
aa_bp8,BP8 - UNIVERSITY,Bid & Proposal,normal,"Expense of preparing , submitting, and supporting bids and proposals  for universities or other academic institutions. Allowable per FAR 31.205-18",1,1,,,
aa_bp9,BP9 - WILDFIRE,Bid & Proposal,normal,"Expense of preparing , submitting, and supporting bids and proposals  for agencies and organizations tasked with forest/wildland management and wildland fire fighting. Allowable per FAR 31.205-18",1,1,,,
aa_sales,Sales & Marketing,Overhead,view,Sales & Marketing,,,,olive,
aa_s101,101 - DIRECT SALES - ALLOWABLE,Sales & Marketing,normal,"Direct Sales are allowable (FAR 31.205-38). Direct sales include acts to induce particular customers to purchase particular products or services, including efforts having as their purpose the application or adaptation of products or services for a particular customer’s use. Direct sales does not include anything that would be more properly characterized as marketing or PR work.",1,1,,,
aa_s873,873 - ADVERTISING - UNALLOWABLE,Sales & Marketing,normal,Advertising expenses. Marketing that doesn't promote exports of products normally sold to the US Government is not Allowable per FAR. (31.205-43),1,0,,red,
aa_s876,876 - PRODUCT ENDORSEMENTS - UNALLOWABLE,Sales & Marketing,normal,Product endorsement expenses. Marketing that doesn't promote exports of products normally sold to the US Government is not Allowable per FAR. (31.205-43),1,0,,red,
aa_s879,879 - LOBBYING & POLITICAL - UNALLOWABLE,Sales & Marketing,normal,Lobbying and political action expenses. Marketing that doesn't promote exports of products normally sold to the US Government is not Allowable per FAR. (31.205-43),1,0,,red,
aa_cons,Trade Shows & Conventions,Overhead,view,Trade Shows & Conventions,,,,olive,
aa_ts1,TS1 - TRADE SHOWS - ALLOWABLE,Trade Shows & Conventions,normal,Expense of preparing for and attending trade shows. Marketing is allowable if it involves products normally sold to the US Government containing significant effort to promote exports (31.205-1).,1,1,,,
aa_ts2,TS2 - AUVSI,Trade Shows & Conventions,normal,Expense of preparing for and attending AUVSI. Marketing is allowable if it involves products normally sold to the US Government containing significant effort to promote exports (31.205-1).,1,1,,,
aa_ts3,TS3 - AUSA,Trade Shows & Conventions,normal,Expense of preparing for and attending AUSA. Marketing is allowable if it involves products normally sold to the US Government containing significant effort to promote exports (31.205-1).,1,1,,,
aa_ts895,TS895 - TRADE  SHOWS - UNALLOWABLE,Trade Shows & Conventions,normal,Expense of preparing for and attending trade shows.  Marketing that doesn't promote exports of products normally sold to the US Government is not Allowable per FAR. (31.205-43),1,0,,red,
aa_media,Media,Overhead,view,Media,,,,olive,
aa_me140,140 - AUDIO/VISUAL - DIRECT SALES,Media,normal,"Expense of creating audio or visual media for direct sales. Direct selling is characterized by person-to-person contact and includes such efforts as familiarizing a potential customer with the contractor’s products or services, conditions of sale, service capabilities, etc. It also includes negotiation, liaison between customer and contractor personnel, technical and consulting efforts, and individual demonstrations, and any other efforts having as their purpose the application or adaptation of the contractor’s products or services for a particular customer’s use. (31.205-38).",1,1,,,
aa_me146,146 - AUDIO/VISUAL - PUBLIC RELEASE,Media,normal,Expense of creating audio or visual media for public release. Marketing is allowable if it involves products normally sold to the US Government containing significant effort to promote exports (31.205-1).,1,1,,,
aa_me151,151 - PRINT MEDIA - DIRECT SALES,Media,normal,"Expense of creating print media for direct sales. Direct selling is characterized by person-to-person contact and includes such efforts as familiarizing a potential customer with the contractor’s products or services, conditions of sale, service capabilities, etc. It also includes negotiation, liaison between customer and contractor personnel, technical and consulting efforts, and individual demonstrations, and any other efforts having as their purpose the application or adaptation of the contractor’s products or services for a particular customer’s use. (31.205-38).",1,1,,,
aa_me154,154 - PRINT MEDIA - PUBLIC RELEASE,Media,normal,Expense of creating print media for public release. Marketing is allowable if it involves products normally sold to the US Government containing significant effort to promote exports (31.205-1).,1,1,,,
aa_me178,178 - MEDIA - OTHER ALLOWABLE,Media,normal,Expense of creating other types of media. Marketing is allowable if it involves products normally sold to US Government containing significant effort to promote exports (31.205-1).,1,1,,,
aa_me840,840 - AUDIO/VISUAL - UNALLOWABLE,Media,normal,"Expense of creating audio or visual media that is not Allowable per FAR. Marketing that doesn't promote exports of products normally sold to the US Government is not Allowable per FAR. Does not include direct sales or all trade, business, technical, and professional activity costs. (31.205-43)",1,0,,red,
aa_me851,851 - PRINT MEDIA - UNALLOWABLE,Media,normal,"Expense of creating print media that is not Allowable per FAR. Marketing that doesn't promote exports of products normally sold to the US Government is not Allowable per FAR. Does not include direct sales or all trade, business, technical, and professional activity costs. (31.205-43)",1,0,,red,
aa_me895,895 - MEDIA - OTHER UNALLOWABLE,Media,normal,"Expense of creating other media that is not Allowable per FAR. Marketing that doesn't promote exports of products normally sold to the US Government is not Allowable per FAR. Does not include direct sales or all trade, business, technical, and professional activity costs. (31.205-43)",1,0,,red,
aa_fringe,Fringe Benefits,Overhead,view,Fringe Benefits,,,,purple,
aa_f301,301 - EMPLOYEE BENEFITS,Fringe Benefits,normal,301 - EMPLOYEE BENEFITS,,1,,,
aa_f311,311 - BONUS - PROFIT SHARING,Fringe Benefits,normal,Compensation paid to an employee pursuant to an established incentive and bonus program (see FAR 31.205-6 and IMSAR Policies and Procedures Manual),,1,,,
aa_f314,314 - BONUS - SPOT,Fringe Benefits,normal,Compensation paid to an employee pursuant to an established incentive and bonus program (see FAR 31.205-6 and IMSAR Policies and Procedures Manual),,1,,,
aa_f324,324 - HOLIDAY,Fringe Benefits,normal,Compensation paid to an employee pursuant to an established holiday pay program (see FAR 31.205-6 and IMSAR Policies and Procedures Manual),1,1,,,Holiday
aa_f326,326 - PTO,Fringe Benefits,normal,Compensation paid to an employee pursuant to an established PTO program (see FAR 31.205-6 and IMSAR Policies and Procedures Manual),1,1,,,PTO
aa_f331,331 - WORKER'S COMP,Fringe Benefits,normal,331 - WORKER'S COMP,,1,,,
aa_f363,363 - 401K MATCH,Fringe Benefits,normal,363 - 401K MATCH,,1,,,
aa_f369,369 - SAVINGS INCENTIVE - EMPLOYEE,Fringe Benefits,normal,Compensation paid to an employee pursuant to an established incentive and bonus program (see FAR 31.205-6 and IMSAR Policies and Procedures Manual),,1,,,
aa_f382a,382a - PAYROLL TAX - FICA & MEDICARE,Fringe Benefits,normal,382a - PAYROLL TAX - FICA & MEDICARE,,1,,,
aa_f382b,382b - PAYROLL TAX - FUTA,Fringe Benefits,normal,382b - PAYROLL TAX - FUTA,,1,,,
aa_f382c,382c - PAYROLL TAX - SUTA,Fringe Benefits,normal,382c - PAYROLL TAX - SUTA,,1,,,
aa_f393,393 - PAYROLL PROCESSING FEES,Fringe Benefits,normal,393 - PAYROLL PROCESSING FEES,,1,,,
aa_f501,501 - OWNER BENEFITS,Fringe Benefits,normal,501 - OWNER BENEFITS,,1,,,
aa_f511,511 - BONUS - PROFIT SHARING - OWNER,Fringe Benefits,normal,Compensation paid to an owner pursuant to an established incentive and bonus program (see FAR 31.205-6 and IMSAR Policies and Procedures Manual),,1,,,
aa_f514,514 - BONUS - SPOT - OWNER,Fringe Benefits,normal,Compensation paid to an owner pursuant to an established incentive and bonus program (see FAR 31.205-6 and IMSAR Policies and Procedures Manual),,1,,,
aa_f569,569 - SAVINGS INCENTIVE - OWNER,Fringe Benefits,normal,Compensation paid to an owner pursuant to an established incentive and bonus program (see FAR 31.205-6 and IMSAR Policies and Procedures Manual),,1,,,
aa_f801,801 - COBRA/ NON-EMPLOYEE - UNALLOWABLE,Fringe Benefits,normal,801 - COBRA/ NON-EMPLOYEE - UNALLOWABLE,,0,,red,
aa_f811,811 - BONUS NON-EMPLOYEE - UNALLOWABLE,Fringe Benefits,normal,811 - BONUS NON-EMPLOYEE - UNALLOWABLE,,0,,red,
aa_f814,814 - BONUS EMPLOYEE - UNALLOWABLE,Fringe Benefits,normal,Compensation to an employee.  Not paid persuant to an established incentive and bonus program.  Not Allowable per FAR. (31.205-6 and IMSAR Policies and Procedures Manual),,0,,red,
aa_f826,826 - PTO - UNALLOWABLE,Fringe Benefits,normal,Compensation to an employee.  Not paid pursuant to an established PTO program.  Not Allowable per FAR. (see FAR 31.205-6 and IMSAR Policies and Procedures Manual),,0,,red,
aa_f841,841 - GIFTS & AWARDS - EMPLOYEE - UNALLOWABLE,Fringe Benefits,normal,841 - GIFTS & AWARDS - EMPLOYEE - UNALLOWABLE,,0,,red,
aa_f844,844 - GIFTS & AWARDS - OWNER - UNALLOWABLE,Fringe Benefits,normal,844 - GIFTS & AWARDS - OWNER - UNALLOWABLE,,0,,red,
aa_non_op,Non-operating Income and Expenses,PnL,view,Non-operating Income and Expenses,,,,,
aa_n720,720 - ROYALTY INCOME,Non-operating Income and Expenses,normal,720 - ROYALTY INCOME,,1,,,
aa_n733,733 - SHOP LEASE INCOME,Non-operating Income and Expenses,normal,733 - SHOP LEASE INCOME,,1,,,
aa_n771,771 - INTEREST INCOME,Non-operating Income and Expenses,normal,771 - INTEREST INCOME,,1,,,
aa_n772,772 - CURRENCY CONVERSION  INCOME,Non-operating Income and Expenses,normal,772 - CURRENCY CONVERSION  INCOME,,1,,,
aa_n795,795 - MISC OTHER  INCOME,Non-operating Income and Expenses,normal,795 - MISC OTHER  INCOME,,1,,,
aa_n871,871 - INTEREST EXPENSE - NON-OPERATING - UNALLOWABLE,Non-operating Income and Expenses,normal,871 - INTEREST EXPENSE - NON-OPERATING - UNALLOWABLE,,0,,,
aa_n895,895 - MISC OTHER EXPENSES - UNALLOWABLE,Non-operating Income and Expenses,normal,895 - MISC OTHER EXPENSES - UNALLOWABLE,,0,,,
aa_n972,972 - CURRENCY CONVERSION  EXPENSE,Non-operating Income and Expenses,normal,972 - CURRENCY CONVERSION  EXPENSE,,1,,,
aa_n995,995 - MISC OTHER EXPENSES - ALLOWABLE,Non-operating Income and Expenses,normal,995 - MISC OTHER EXPENSES - ALLOWABLE,,1,,,
